 STEP_COUNT,CLIFT,CDRAG
          25 ,   6.57393225E-03 ,   1.50968945E-02
          50 ,   1.47512006E-02 ,   1.54546313E-02
          75 ,   2.20667440E-02 ,   1.56477746E-02
         100 ,   2.77917087E-02 ,   1.58029478E-02
         125 ,   3.23354639E-02 ,   1.60076711E-02
         150 ,   3.58902998E-02 ,   1.62447989E-02
         175 ,   3.81605700E-02 ,   1.64310597E-02
         200 ,   3.94612476E-02 ,   1.65691543E-02
         225 ,   3.99966761E-02 ,   1.66510120E-02
         250 ,   4.01332602E-02 ,   1.66705884E-02
         275 ,   4.04520147E-02 ,   1.66268069E-02
         300 ,   4.06377763E-02 ,   1.65329501E-02
         325 ,   4.12110910E-02 ,   1.64102279E-02
         350 ,   4.15700674E-02 ,   1.62819792E-02
         375 ,   4.18936796E-02 ,   1.61652621E-02
         400 ,   4.19093035E-02 ,   1.60650853E-02
         425 ,   4.17066328E-02 ,   1.59822647E-02
         450 ,   4.17171791E-02 ,   1.58921015E-02
         475 ,   4.14555706E-02 ,   1.57804880E-02
         500 ,   4.07904647E-02 ,   1.56542696E-02
         525 ,   4.04018834E-02 ,   1.55242113E-02
         550 ,   3.93394120E-02 ,   1.53968632E-02
         575 ,   3.78341824E-02 ,   1.52812414E-02
         600 ,   3.59668322E-02 ,   1.51660563E-02
         625 ,   3.42673212E-02 ,   1.50422333E-02
         650 ,   3.26680280E-02 ,   1.49188228E-02
         675 ,   3.15305404E-02 ,   1.47953779E-02
         700 ,   2.99589932E-02 ,   1.46858515E-02
         725 ,   2.81376205E-02 ,   1.45881390E-02
         750 ,   2.59699728E-02 ,   1.45039447E-02
         775 ,   2.34499276E-02 ,   1.44301644E-02
         800 ,   2.11936384E-02 ,   1.43659804E-02
         825 ,   1.90543327E-02 ,   1.42993331E-02
         850 ,   1.70618519E-02 ,   1.42238233E-02
         875 ,   1.53985368E-02 ,   1.41329458E-02
         900 ,   1.42854564E-02 ,   1.40296910E-02
         925 ,   1.33260004E-02 ,   1.39141101E-02
         950 ,   1.27038658E-02 ,   1.37976902E-02
         975 ,   1.23085938E-02 ,   1.36902221E-02
        1000 ,   1.17523810E-02 ,   1.35942744E-02
        1025 ,   1.20457876E-02 ,   1.35192424E-02
        1050 ,   1.18686790E-02 ,   1.34712206E-02
        1075 ,   1.17139593E-02 ,   1.34522002E-02
        1100 ,   1.16569679E-02 ,   1.34623656E-02
        1125 ,   1.12146437E-02 ,   1.34949777E-02
        1150 ,   1.01833874E-02 ,   1.35356486E-02
        1175 ,   9.22419224E-03 ,   1.35798762E-02
        1200 ,   8.73737503E-03 ,   1.36160115E-02
        1225 ,   7.88854714E-03 ,   1.36419730E-02
        1250 ,   7.38838082E-03 ,   1.36521114E-02
        1275 ,   6.66674459E-03 ,   1.36522753E-02
        1300 ,   6.75045047E-03 ,   1.36453705E-02
        1325 ,   6.77258614E-03 ,   1.36349741E-02
        1350 ,   7.11867167E-03 ,   1.36239519E-02
        1375 ,   7.03153992E-03 ,   1.36100855E-02
        1400 ,   7.37490738E-03 ,   1.35930171E-02
        1425 ,   7.58069940E-03 ,   1.35748005E-02
        1450 ,   7.71064125E-03 ,   1.35625545E-02
        1475 ,   8.12458713E-03 ,   1.35570448E-02
        1500 ,   8.50199442E-03 ,   1.35617992E-02
        1525 ,   9.03734472E-03 ,   1.35769015E-02
        1550 ,   1.01444451E-02 ,   1.36066927E-02
        1575 ,   1.13930283E-02 ,   1.36441160E-02
        1600 ,   1.24394260E-02 ,   1.36845019E-02
        1625 ,   1.37142260E-02 ,   1.37178963E-02
        1650 ,   1.44093772E-02 ,   1.37432376E-02
        1675 ,   1.47836199E-02 ,   1.37598421E-02
        1700 ,   1.55990729E-02 ,   1.37705021E-02
        1725 ,   1.59720834E-02 ,   1.37745896E-02
        1750 ,   1.64666083E-02 ,   1.37714185E-02
        1775 ,   1.72105879E-02 ,   1.37643116E-02
        1800 ,   1.75373238E-02 ,   1.37515999E-02
        1825 ,   1.80604961E-02 ,   1.37352962E-02
        1850 ,   1.85776521E-02 ,   1.37154972E-02
        1875 ,   1.92674194E-02 ,   1.36890775E-02
        1900 ,   1.99024808E-02 ,   1.36564234E-02
        1925 ,   2.05680709E-02 ,   1.36090526E-02
        1950 ,   2.16010176E-02 ,   1.35507723E-02
        1975 ,   2.25861110E-02 ,   1.34911053E-02
        2000 ,   2.34891996E-02 ,   1.34349735E-02
        2025 ,   2.43684724E-02 ,   1.33893285E-02
        2050 ,   2.51516998E-02 ,   1.33482106E-02
        2075 ,   2.61543002E-02 ,   1.33112082E-02
        2100 ,   2.65257284E-02 ,   1.32705504E-02
        2125 ,   2.68556420E-02 ,   1.32260909E-02
        2150 ,   2.70449761E-02 ,   1.31783495E-02
        2175 ,   2.66106613E-02 ,   1.31232133E-02
        2200 ,   2.59865411E-02 ,   1.30639644E-02
        2225 ,   2.49363035E-02 ,   1.29980585E-02
        2250 ,   2.39348263E-02 ,   1.29274903E-02
        2275 ,   2.25073006E-02 ,   1.28500704E-02
        2300 ,   2.11296808E-02 ,   1.27663761E-02
        2325 ,   1.97713636E-02 ,   1.26741594E-02
        2350 ,   1.82228852E-02 ,   1.25746122E-02
        2375 ,   1.68717541E-02 ,   1.24671133E-02
        2400 ,   1.55269373E-02 ,   1.23480903E-02
        2425 ,   1.41188735E-02 ,   1.22190965E-02
        2450 ,   1.27548305E-02 ,   1.20892916E-02
        2475 ,   1.17424745E-02 ,   1.19562885E-02
        2500 ,   1.11655900E-02 ,   1.18198795E-02
        2525 ,   1.04980497E-02 ,   1.16870971E-02
        2550 ,   1.03153586E-02 ,   1.15593327E-02
        2575 ,   9.99649242E-03 ,   1.14458082E-02
        2600 ,   9.87690873E-03 ,   1.13597456E-02
        2625 ,   9.97830834E-03 ,   1.13009308E-02
        2650 ,   9.97148175E-03 ,   1.12556769E-02
        2675 ,   1.00762788E-02 ,   1.12235108E-02
        2700 ,   1.03786970E-02 ,   1.12053426E-02
        2725 ,   1.09467190E-02 ,   1.11973202E-02
        2750 ,   1.14680110E-02 ,   1.11945281E-02
        2775 ,   1.19126365E-02 ,   1.11919856E-02
        2800 ,   1.26218358E-02 ,   1.11889504E-02
        2825 ,   1.36615690E-02 ,   1.11770937E-02
        2850 ,   1.43972514E-02 ,   1.11530144E-02
        2875 ,   1.50637971E-02 ,   1.11183440E-02
        2900 ,   1.57229844E-02 ,   1.10739619E-02
        2925 ,   1.67643558E-02 ,   1.10275084E-02
        2950 ,   1.71231572E-02 ,   1.09800417E-02
        2975 ,   1.75971072E-02 ,   1.09318765E-02
        3000 ,   1.78181082E-02 ,   1.08884126E-02
        3025 ,   1.82634406E-02 ,   1.08507257E-02
        3050 ,   1.80142187E-02 ,   1.08177178E-02
        3075 ,   1.79850180E-02 ,   1.07808374E-02
        3100 ,   1.77624337E-02 ,   1.07414657E-02
        3125 ,   1.73626058E-02 ,   1.06945587E-02
        3150 ,   1.65520515E-02 ,   1.06386486E-02
        3175 ,   1.59103759E-02 ,   1.05690500E-02
        3200 ,   1.51222870E-02 ,   1.04929367E-02
