retry-diamond-m06-aoa5-scale5 0.01 1 0.6 5000000 5 78 5 0.333 2 0.4 1 2 0.5
retry-diamond-m06-aoa20-scale5 0.01 1 0.6 5000000 20 78 5 0.333 2 0.4 1 2 0.5
retry-flat-m06-aoa5-scale5 0.01 1 0.6 5000000 5 78 5 0.333 2 0.4 1 1
retry-flat-m06-aoa20-scale5 0.01 1 0.6 5000000 20 78 5 0.333 2 0.4 1 1
retry-sub-m06-aoa5-scale5 0.01 1 0.6 5000000 5 78 5 0.333 2 0.4 1 3
retry-sub-m06-aoa20-scale5 0.01 1 0.6 5000000 20 78 5 0.333 2 0.4 1 3

retry-diamond-m06-aoa5-scale3 0.01 1 0.6 5000000 5 78 3 0.333 2 0.4 1 2 0.5
retry-diamond-m06-aoa20-scale3 0.01 1 0.6 5000000 20 78 3 0.333 2 0.4 1 2 0.5
retry-flat-m06-aoa5-scale3 0.01 1 0.6 5000000 5 78 3 0.333 2 0.4 1 1
retry-flat-m06-aoa20-scale3 0.01 1 0.6 5000000 20 78 3 0.333 2 0.4 1 1
retry-sub-m06-aoa5-scale3 0.01 1 0.6 5000000 5 78 3 0.333 2 0.4 1 3
retry-sub-m06-aoa20-scale3 0.01 1 0.6 5000000 20 78 3 0.333 2 0.4 1 3

retry-diamond-m06-aoa2-scale5 0.01 0 0.6 5000000 2 78 5 0.333 2 0.4 1 2 0.5
retry-diamond-m06-aoa10-scale5 0.01 0 0.6 5000000 10 78 5 0.333 2 0.4 1 2 0.5
retry-flat-m06-aoa30-scale5 0.01 0 0.6 5000000 30 78 5 0.333 3 0.2 1.5 1
retry-sub-m06-aoa30-scale5 0.01 0 0.6 5000000 30 78 5 0.333 3 0.2 1.5 3

last-flat-m06-aoa35-scale5 0.01 0 0.6 5000000 35 78 5 0.333 4 0.1 6 1
last-sub-m06-aoa35-scale5 0.01 0 0.6 5000000 35 78 5 0.333 4 0.1 6 3
last-diamond-m06-aoa35-scale5 0.01 0 0.6 5000000 35 78 5 0.333 4 0.1 6 2 0.5

retry-diamond-m06-aoa2-scale3 0.01 0 0.6 5000000 2 78 3 0.333 2 0.4 1 2 0.5
retry-diamond-m06-aoa10-scale3 0.01 0 0.6 5000000 10 78 3 0.333 2 0.4 1 2 0.5
retry-flat-m06-aoa30-scale3 0.01 0 0.6 5000000 30 78 3 0.333 3 0.2 1.5 1
retry-sub-m06-aoa30-scale3 0.01 0 0.6 5000000 30 78 3 0.333 3 0.2 1.5 3

last-flat-m06-aoa35-scale3 0.01 0 0.6 5000000 35 78 3 0.333 4 0.1 6 1
last-sub-m06-aoa35-scale3 0.01 0 0.6 5000000 35 78 3 0.333 4 0.1 6 3
last-diamond-m06-aoa35-scale3 0.01 0 0.6 5000000 35 78 3 0.333 4 0.1 6 2 0.5
