 STEP_COUNT,CLIFT,CDRAG
          25 ,   5.35442727E-03 ,   1.60880107E-02
          50 ,   1.27073741E-02 ,   1.60503518E-02
          75 ,   2.00367868E-02 ,   1.61999911E-02
         100 ,   2.38561872E-02 ,   1.66400149E-02
         125 ,   2.75036320E-02 ,   1.73601545E-02
         150 ,   2.89824121E-02 ,   1.80127658E-02
         175 ,   2.90478095E-02 ,   1.84870269E-02
         200 ,   2.95044091E-02 ,   1.87075455E-02
         225 ,   3.00680399E-02 ,   1.87016558E-02
         250 ,   3.09218224E-02 ,   1.87511519E-02
         275 ,   3.16209011E-02 ,   1.90592185E-02
         300 ,   3.16347443E-02 ,   1.96833871E-02
         325 ,   3.14693451E-02 ,   2.06495114E-02
         350 ,   3.08506507E-02 ,   2.18355767E-02
         375 ,   3.04628816E-02 ,   2.30913758E-02
         400 ,   3.02030575E-02 ,   2.43488718E-02
         425 ,   3.01313419E-02 ,   2.55622510E-02
         450 ,   2.93741059E-02 ,   2.66402494E-02
         475 ,   2.84476634E-02 ,   2.74521299E-02
         500 ,   2.87351944E-02 ,   2.78760288E-02
         525 ,   2.84346342E-02 ,   2.79171318E-02
         550 ,   2.79171001E-02 ,   2.77108885E-02
         575 ,   2.72205565E-02 ,   2.74152290E-02
         600 ,   2.58799121E-02 ,   2.71648765E-02
         625 ,   2.46961899E-02 ,   2.69803833E-02
         650 ,   2.38718353E-02 ,   2.67880280E-02
         675 ,   2.32117809E-02 ,   2.65967175E-02
         700 ,   2.30005328E-02 ,   2.63439436E-02
         725 ,   2.26728171E-02 ,   2.58839764E-02
         750 ,   2.25034710E-02 ,   2.51565520E-02
         775 ,   2.23420076E-02 ,   2.41400953E-02
         800 ,   2.17522066E-02 ,   2.29355562E-02
         825 ,   2.12268420E-02 ,   2.16631405E-02
         850 ,   2.02694722E-02 ,   2.03959495E-02
         875 ,   1.92569494E-02 ,   1.91712454E-02
         900 ,   1.84329338E-02 ,   1.79669354E-02
         925 ,   1.77683756E-02 ,   1.68018769E-02
         950 ,   1.72119513E-02 ,   1.56997405E-02
         975 ,   1.61356404E-02 ,   1.47302449E-02
        1000 ,   1.52703645E-02 ,   1.39641128E-02
        1025 ,   1.46476952E-02 ,   1.34635800E-02
        1050 ,   1.44786397E-02 ,   1.32462392E-02
