 STEP_COUNT,CLIFT,CDRAG
          25 ,   5.14173461E-03 ,   1.45535991E-02
          50 ,   1.11152846E-02 ,   1.51880216E-02
          75 ,   1.69513039E-02 ,   1.57883409E-02
         100 ,   2.23691016E-02 ,   1.63655076E-02
         125 ,   2.78117023E-02 ,   1.69450734E-02
         150 ,   3.23639214E-02 ,   1.75088216E-02
         175 ,   3.61697152E-02 ,   1.80514380E-02
         200 ,   4.01169546E-02 ,   1.85464527E-02
         225 ,   4.31156196E-02 ,   1.90090127E-02
         250 ,   4.54180799E-02 ,   1.94494110E-02
         275 ,   4.73277718E-02 ,   1.98956821E-02
         300 ,   4.89773154E-02 ,   2.03597434E-02
         325 ,   5.01939878E-02 ,   2.08298918E-02
         350 ,   5.12038618E-02 ,   2.12886613E-02
         375 ,   5.14478385E-02 ,   2.17136052E-02
         400 ,   5.11148237E-02 ,   2.20970511E-02
         425 ,   5.00244610E-02 ,   2.24389415E-02
         450 ,   4.87370566E-02 ,   2.27297824E-02
         475 ,   4.77034077E-02 ,   2.29678042E-02
         500 ,   4.63236496E-02 ,   2.31482610E-02
         525 ,   4.50007468E-02 ,   2.32630726E-02
         550 ,   4.37319987E-02 ,   2.33010687E-02
         575 ,   4.23012748E-02 ,   2.32971180E-02
         600 ,   4.11166735E-02 ,   2.32574958E-02
         625 ,   3.97699438E-02 ,   2.31841635E-02
         650 ,   3.86771634E-02 ,   2.30225101E-02
         675 ,   3.69761921E-02 ,   2.27767825E-02
         700 ,   3.54694948E-02 ,   2.24942937E-02
         725 ,   3.37433144E-02 ,   2.21891608E-02
         750 ,   3.22335847E-02 ,   2.18703020E-02
         775 ,   3.10301688E-02 ,   2.15457138E-02
         800 ,   3.03283986E-02 ,   2.12245304E-02
         825 ,   2.92027425E-02 ,   2.09027268E-02
         850 ,   2.81251799E-02 ,   2.05641855E-02
         875 ,   2.79894210E-02 ,   2.01896764E-02
         900 ,   2.72358060E-02 ,   1.97830517E-02
         925 ,   2.71156821E-02 ,   1.93592384E-02
         950 ,   2.68900078E-02 ,   1.89351644E-02
         975 ,   2.68834829E-02 ,   1.85162704E-02
        1000 ,   2.71218382E-02 ,   1.81066766E-02
        1025 ,   2.73855720E-02 ,   1.77123323E-02
        1050 ,   2.76259873E-02 ,   1.73332952E-02
        1075 ,   2.78472006E-02 ,   1.69676095E-02
        1100 ,   2.79488228E-02 ,   1.66147240E-02
        1125 ,   2.82490291E-02 ,   1.62854884E-02
        1150 ,   2.84678470E-02 ,   1.59886926E-02
        1175 ,   2.83063967E-02 ,   1.57373138E-02
        1200 ,   2.86861286E-02 ,   1.55290337E-02
